Categoría,Número,Pregunta,Verificada,Función
Consultas Generales,1,¿Cuántos tickets están en "waiting for support"?,✅,consultaEstadoTickets()
Consultas Generales,2,¿Cuántos tickets están en estado crítico? (general),✅,consultaTicketsAntiguos()
Consultas Generales,3,¿Cuántos tickets están en estado crítico por cliente?,, 
Consultas Generales,4,¿Qué tickets exceden los SLAs de resolución? (general),,
Consultas Generales,5,¿Qué tickets exceden los SLAs de resolución por cliente?,,
Consultas Generales,6,¿Cuántos clientes no han respondido a los tickets? (status = waiting for client general),,
Consultas Generales,7,¿Cuántos clientes no han respondido a los tickets? (status = waiting for client por cliente),,
Consultas Generales,8,¿Cuántos tickets permanecen abiertos desde hace más de 30 días?,,
Consultas Generales,9,¿Qué tickets necesitan aprobación del cliente antes de avanzar?,,
Consultas Generales,10,¿Cuántos tickets se cerraron sin registro de tiempo dedicado?,,
Consultas de Antigüedad,1,¿Qué tickets llevan más de 30 días abiertos?,✅,consultaTicketsAntiguos()
Consultas de Antigüedad,2,¿Qué tickets sin actualizar en los últimos 7 días?,✅,consultaTicketsAntiguos()
Consultas de Antigüedad,3,¿Cuántos tickets permanecen sin actualizar durante los últimos 15 días?,✅,consultaTicketsAntiguos()
Consultas de Antigüedad,4,¿Qué tickets en "crítico" llevan más de 10 días sin resolverse?,✅,consultaTicketsAntiguos()
Consultas Temporales,1,¿Qué tickets se crearon esta mañana?,✅,consultaTicketsTemporal()
Consultas Temporales,2,¿Cuántos tickets fueron creados esta semana?,✅,consultaTicketsTemporal()
Consultas Temporales,3,¿Qué tickets se resolvieron en los últimos 7 días?,✅,consultaTicketsTemporal()
Consultas Temporales,4,¿Cuántos tickets están abiertos desde el último sprint?,✅,consultaTicketsTemporal()
Consultas Temporales,5,¿Qué tickets cambiaron de estado más de 3 veces en las últimas 2 semanas?,✅,consultaTicketsTemporal()
Consultas Temporales,6,¿Cuántos tickets fueron reabiertos en el último mes?,✅,consultaTicketsTemporal()
Consultas por Equipo,1,¿Qué tareas están asignadas al equipo de desarrollo con deadline esta semana?,✅,consultaTicketsEquipo()
Consultas por Equipo,2,¿Qué tickets del equipo de QA están esperando pruebas desde hace más de 3 días?,✅,consultaTicketsEquipo()
Consultas por Equipo,3,¿Cuántos tickets de soporte están en estado "Escalado"?,✅,consultaTicketsEquipo()
Consultas por Equipo,4,¿Qué tickets están vinculados entre equipos y requieren coordinación?,✅,consultaTicketsEquipo()
Consultas por Equipo,5,¿Qué tickets asignados a QA están sin responsable definido?,✅,consultaTicketsEquipo()
Consultas por Equipo,6,¿Cuántos tickets están esperando revisión del equipo de UX?,✅,consultaTicketsEquipo()
Consultas por Cliente,1,¿Cuántos clientes han generado tickets en los últimos 3 meses?,✅,consultaTicketsCliente()
Consultas por Cliente,2,¿Qué tickets relacionados con solicitudes de nuevos contratos están pendientes?,✅,consultaTicketsCliente()
Consultas por Cliente,3,¿Cuántos tickets están esperando respuesta del cliente desde hace más de 2 semanas?,✅,consultaTicketsCliente()
Consultas por Cliente,4,¿Qué clientes tienen más de 5 tickets abiertos actualmente?,✅,consultaTicketsCliente()
Consultas por Cliente,5,¿Qué tickets relacionados con problemas reportados por clientes premium están pendientes?,✅,consultaTicketsCliente()
Consultas por Cliente,6,¿Qué tickets fueron creados por el cliente "ABC Corp" esta semana?,✅,consultaTicketsCliente()
Consultas por Etiquetas,1,¿Qué tickets tienen la etiqueta "urgente" y están en el backlog?,✅,consultaTicketsEtiquetas()
Consultas por Etiquetas,2,¿Cuántos tickets tienen comentarios sin responder en los últimos 5 días?,✅,consultaTicketsEtiquetas()
Consultas por Etiquetas,3,¿Qué tickets cumplen con la etiqueta "impacto alto" pero tienen prioridad "Baja"?,✅,consultaTicketsEtiquetas()
Consultas por Etiquetas,4,¿Qué tickets están bloqueados por dependencias externas?,✅,consultaTicketsEtiquetas()
Consultas por Etiquetas,5,¿Cuántos tickets contienen etiquetas personalizadas creadas por el equipo?,✅,consultaTicketsEtiquetas()
Consultas por Etiquetas,6,¿Qué tickets tienen la etiqueta "bloqueado" y no se han movido en 3 días?,✅,consultaTicketsEtiquetas()
Consultas de Rendimiento,1,¿Qué tickets exceden los tiempos promedio de resolución en cada proyecto?,✅,consultaRendimiento()
Consultas de Rendimiento,2,¿Cuál es el tiempo promedio de resolución de tickets esta semana?,✅,consultaRendimiento()
Consultas de Rendimiento,3,¿Qué tickets tienen más de 3 cambios de prioridad en su historial?,✅,consultaRendimiento()
Consultas de Rendimiento,4,¿Cuál es el porcentaje de tickets resueltos por cada responsable este mes?,✅,consultaRendimiento()
Consultas Avanzadas,1,¿Qué tickets tienen más de dos adjuntos y siguen en estado "Por hacer"?,✅,consultaTicketsAvanzada()
Consultas Avanzadas,2,¿Cuántos tickets se asignaron automáticamente y no han sido revisados manualmente?,✅,consultaTicketsAvanzada()
Consultas Avanzadas,3,¿Qué tickets están marcados como bloqueadores para el sprint actual?,✅,consultaTicketsAvanzada()
Consultas Avanzadas,4,¿Cuántos tickets tienen dependencias externas sin resolver?,✅,consultaTicketsAvanzada()
Consultas Avanzadas,5,¿Qué tickets relacionados con bugs tienen una prioridad superior a la inicialmente asignada?,✅,consultaTicketsAvanzada()
Consultas Avanzadas,6,¿Cuántos tickets han sido reabiertos después de estar marcados como "Hechos"?,✅,consultaTicketsAvanzada()
Consultas de Comentarios,1,¿Qué tickets tienen comentarios añadidos en los últimos 2 días?,✅,consultaTicketsComentarios()
Consultas de Comentarios,2,¿Cuántos tickets tienen comentarios sin responder en los últimos 5 días?,✅,consultaTicketsComentarios()
Consultas de Comentarios,3,¿Qué tickets tienen comentarios vinculados con discusiones internas del equipo?,✅,consultaTicketsComentarios()
Consultas de Adjuntos,1,¿Qué tickets tienen más de dos adjuntos y siguen en estado "Por hacer"?,✅,consultaTicketsAdjuntos()
Consultas de Adjuntos,2,¿Qué tickets se asignaron durante el último sprint pero no tienen adjuntos?,✅,consultaTicketsAdjuntos()
Consultas por Tipo,1a,¿Cuántos tickets abiertos corresponden al tipo "bug"?,✅,consultaTicketsTipo()
Consultas por Tipo,1b,¿Cuál es el número actual de tickets abiertos que son solicitudes de "feature request"?,✅,consultaTicketsTipo()
Consultas por Tipo,1c,¿Cuántos tickets abiertos hay clasificados como "tarea"?,✅,consultaTicketsTipo()
Consultas por Tipo,1d,¿Cuántos tickets de la categoría "mejora" permanecen sin cerrar?,✅,consultaTicketsTipo()
Consultas por Tipo,2,¿Qué tickets tienen prioridad alta y están sin actualizar en los últimos 7 días?,✅,consultaTicketsAvanzada()
Consultas por Tipo,3,¿Cuántos tickets tienen etiquetas de "bloqueado" y no se han movido de estado en los últimos 3 días?,✅,consultaTicketsAvanzada()
Consultas por Tipo,4,¿Cuántos tickets están en estados personalizados creados por el equipo?,✅,consultaTicketsAvanzada() 